fuel_key,minimum_cycle_period_s,burn_duration_s,ignition_pressure_ratio_max,target_equivalence_ratio,feasible,completed_cycles,mean_net_thrust_n,peak_net_thrust_n,mean_fuel_mass_flow_kg_per_s,specific_impulse_s,peak_chamber_pressure_pa,peak_chamber_pressure_ratio,peak_chamber_temperature_k,relative_mass_balance_residual,relative_energy_balance_residual
jet_a_reference,0.01,0.006,1.08,0.9,True,15,66.62007013139858,449.6146499426628,0.03210620211806044,211.59016371014386,111514.7400043179,1.0811068193423978,2556.5498262931405,4.1898779354816997e-16,1.002077999652369e-13
jet_a_reference,0.01,0.006,1.08,1.0,True,15,82.33228491320854,555.4686785298521,0.03638769053464062,230.72518355511517,114021.75756380912,1.1054117119482736,2600.0,5.90440164640011e-15,-9.944108036022568e-14
jet_a_reference,0.01,0.006,1.08,1.1,True,15,83.19412062942341,557.5899017250441,0.03995832665412379,212.30717283179695,114072.42516777772,1.1059029213809286,2600.0,2.580330338154947e-16,1.634374632905346e-14
jet_a_reference,0.014,0.002,1.01,0.7,True,20,125.10224070520965,1306.5904742830883,0.029103586496918875,438.3266754441932,133049.33819373258,1.289879228742924,1535.9837788693853,-1.6370243344323202e-15,-1.4541364554081805e-14
jet_a_reference,0.014,0.002,1.01,0.8,True,19,162.93138347223592,1680.2163525312992,0.03340407614769279,497.3757471841906,143357.49540283825,1.3898141705558729,1762.9238532441836,-6.125806451065102e-15,-9.218855534776928e-15
jet_a_reference,0.014,0.002,1.01,0.9,True,18,194.72407541532496,1999.751037654701,0.037774712584769235,525.6513767313332,154565.62979071896,1.4984741604224563,1993.3555556414635,-9.056103944157464e-16,-1.657562519305311e-14
jet_a_reference,0.014,0.002,1.01,1.0,True,17,236.8096411440195,2343.4585438127774,0.04180821199547778,577.5866006663033,166987.57391480383,1.6189017245410509,2222.099827155275,-6.7402004416297654e-15,-9.188050760867252e-15
jet_a_reference,0.014,0.002,1.01,1.1,True,18,225.31993049959547,2351.002713571524,0.04627009360984378,496.5678007373136,167257.8130250864,1.6215216234438163,2210.8204457116376,-5.750726751397802e-15,2.0302297829634537e-15
jet_a_reference,0.014,0.002,1.02,0.7,True,20,125.10326877773844,1306.5904742839716,0.02910341241771184,438.3328993804126,133049.33819375627,1.2898792287431535,1535.9837788693853,-1.7092006796922775e-15,-2.068218361154833e-14
jet_a_reference,0.014,0.002,1.02,0.8,True,19,162.93115702978855,1680.2163525317749,0.03340412038810592,497.374397206658,143357.49540285167,1.389814170556003,1762.9238532441836,-4.9088568090832565e-15,-7.843210711640639e-15
jet_a_reference,0.014,0.002,1.02,0.9,True,18,194.72382815190653,1999.7510376548814,0.03777476692046414,525.6499531491677,154565.6297907263,1.4984741604225273,1993.3555556414635,3.874884449481905e-16,-1.5493965452024232e-14
jet_a_reference,0.014,0.002,1.02,1.0,True,17,236.58569673322478,2343.458543812895,0.04180821199547774,577.0403927908801,166987.57391480805,1.6189017245410917,2222.099827155275,-6.348978078275074e-15,-2.401020933705996e-15
jet_a_reference,0.014,0.002,1.02,1.1,True,18,225.92725159181677,2351.002713571661,0.046251681914766044,498.10444045315614,167257.81302509125,1.6215216234438634,2210.8204457116376,-3.840285290665051e-15,5.406773772839015e-16
jet_a_reference,0.014,0.002,1.03,0.7,True,20,125.10395185024444,1306.5904742847224,0.029103296733465185,438.3370350707178,133049.33819377635,1.2898792287433483,1535.9837788693853,-2.0197456782680296e-15,-2.2267105195523334e-14
jet_a_reference,0.014,0.002,1.03,0.8,True,19,162.93100657254936,1680.216352532215,0.03340414978820812,497.37350015563544,143357.4954028642,1.3898141705561247,1762.9238532441836,-7.854165891045339e-15,-6.11417000539385e-15
jet_a_reference,0.014,0.002,1.03,0.9,True,18,194.72363094759547,1999.7510376550647,0.037774810262721815,525.6488176808822,154565.62979073415,1.4984741604226037,1993.3555556414635,-1.53113330515425e-15,-1.3162538221267584e-14
jet_a_reference,0.014,0.002,1.03,1.0,True,17,236.31823450441505,2343.4585438130316,0.04180821199547769,576.3880435081466,166987.5739148129,1.6189017245411388,2222.099827155275,-7.381734290836602e-15,-1.7260134820885013e-15
jet_a_reference,0.014,0.002,1.03,1.1,True,18,226.43985578978774,2351.0027135717805,0.04623695519615775,499.39359379014326,167257.81302509556,1.6215216234439052,2210.8204457116376,-4.818027512778179e-15,-6.829754461365607e-15
jet_a_reference,0.014,0.002,1.05,0.7,True,20,125.10395185024444,1306.5904742847224,0.029103296733465185,438.3370350707178,133049.33819377635,1.2898792287433483,1535.9837788693853,-2.0197456782680296e-15,-2.2267105195523334e-14
jet_a_reference,0.014,0.002,1.05,0.8,True,19,162.93089399348355,1680.2163525325266,0.033404171789356,497.3728289024178,143357.49540287303,1.3898141705562101,1762.9238532441836,-4.4237315401523215e-15,-3.1265181798356113e-15
jet_a_reference,0.014,0.002,1.05,0.9,True,18,194.72338519727555,1999.7510376553341,0.03777486428324257,525.6474025763561,154565.62979074573,1.4984741604227159,1993.3555556414635,-3.092959864244227e-15,-1.8280327537639233e-14
jet_a_reference,0.014,0.002,1.05,1.0,True,17,235.586682520624,2343.458543813362,0.04181958607524201,574.4474832814901,166987.57391482478,1.618901724541254,2222.099827155275,-7.22635451869506e-15,-1.0255971373805549e-15
jet_a_reference,0.014,0.002,1.05,1.1,True,18,227.3749519895549,2351.0027135720334,0.04621118906042537,501.7354664162648,167257.81302510464,1.6215216234439933,2210.8204457116376,-4.405402877498336e-15,-4.918651399079768e-15
jet_a_reference,0.014,0.002,1.08,0.7,True,20,125.10395185024444,1306.5904742847224,0.029103296733465185,438.3370350707178,133049.33819377635,1.2898792287433483,1535.9837788693853,-2.0197456782680296e-15,-2.2267105195523334e-14
jet_a_reference,0.014,0.002,1.08,0.8,True,19,162.93089399348355,1680.2163525325266,0.033404171789356,497.3728289024178,143357.49540287303,1.3898141705562101,1762.9238532441836,-4.4237315401523215e-15,-3.1265181798356113e-15
jet_a_reference,0.014,0.002,1.08,0.9,True,18,194.72338519727555,1999.7510376553341,0.03777486428324257,525.6474025763561,154565.62979074573,1.4984741604227159,1993.3555556414635,-3.092959864244227e-15,-1.8280327537639233e-14
jet_a_reference,0.014,0.002,1.08,1.0,True,17,235.586682520624,2343.458543813362,0.04181958607524201,574.4474832814901,166987.57391482478,1.618901724541254,2222.099827155275,-7.22635451869506e-15,-1.0255971373805549e-15
jet_a_reference,0.014,0.002,1.08,1.1,True,18,227.78959710193234,2351.002713572122,0.04620014861456506,502.77055870621524,167257.81302510775,1.6215216234440235,2210.8204457116376,-4.379889481092515e-15,2.4134711430475467e-15
jet_a_reference,0.014,0.003,1.01,0.7,True,19,95.1343039881651,758.6095138775487,0.027841229317168568,348.4400458110539,118951.3326347351,1.1532026786440845,1624.6591730199273,6.577469681575296e-15,4.076711451959729e-15
jet_a_reference,0.014,0.003,1.01,0.8,True,18,123.52683209478981,999.5908009016716,0.032322609275083014,389.70341890672114,125005.04751117661,1.211891892599316,1895.4077645254872,-3.5390949658910132e-15,4.349537837201849e-14
jet_a_reference,0.014,0.003,1.01,0.9,True,17,153.5801838828117,1238.4340944768535,0.03660975103037845,427.7772972765711,131230.77283056776,1.2722487037068504,2176.0308323444765,-1.096331856596929e-14,-1.8265295110905338e-15
jet_a_reference,0.014,0.003,1.01,1.0,True,17,185.07274649998763,1472.246361587244,0.04078388508627832,462.7359060745458,137548.3949476422,1.3334964307116666,2465.2691874008983,5.645397966454421e-16,-1.6356641761520714e-14
jet_a_reference,0.014,0.003,1.01,1.1,True,17,182.5931484756984,1475.3542295121106,0.04500826201458609,413.6867000530148,137633.8798544041,1.3343251849700506,2451.15105577013,8.933327807804464e-15,-4.438919266348179e-15
jet_a_reference,0.014,0.003,1.02,0.7,True,19,94.82183445211774,758.609513877872,0.027855637662374443,347.11595227898107,118951.33263474304,1.1532026786441616,1624.6591730199273,3.657873308214078e-15,4.4614833381962635e-15
jet_a_reference,0.014,0.003,1.02,0.8,True,18,123.52694447476615,999.590800901842,0.03232258722090223,389.70403934461825,125005.04751118105,1.2118918925993591,1895.4077645254872,-4.962239805288399e-16,4.4389129094067024e-14
jet_a_reference,0.014,0.003,1.02,0.9,True,17,153.25145998524408,1238.4340944768776,0.036622138681804396,426.71729187442406,131230.77283056837,1.2722487037068562,2176.0308323444765,-1.2079049611832905e-14,-4.377757281469052e-15
jet_a_reference,0.014,0.003,1.02,1.0,True,17,185.07180236592203,1472.2463615872769,0.04078411227273024,462.73096782288735,137548.3949476431,1.3334964307116755,2465.2691874008983,1.5108790700104628e-15,-1.8052752310532132e-14
jet_a_reference,0.014,0.003,1.02,1.1,True,17,183.05965356695432,1475.3542295121406,0.04498946363001997,414.9169197024795,137633.87985440498,1.334325184970059,2451.151055770128,8.159540382328745e-15,-1.0120115449205275e-14
jet_a_reference,0.014,0.003,1.03,0.7,True,19,94.61603938222817,758.609513878092,0.02786524091374106,346.2432270529509,118951.33263474848,1.1532026786442142,1624.6591730199273,6.715841442086245e-15,8.518488199962069e-15
jet_a_reference,0.014,0.003,1.03,0.8,True,19,123.5404860117494,999.5908009020245,0.03231888000927518,389.79146712138527,125005.04751118566,1.211891892599404,1895.4077645254872,3.943307058668437e-16,4.458877527562237e-14
jet_a_reference,0.014,0.003,1.03,0.9,True,17,152.84612947267678,1238.4340944768903,0.03663761952926352,425.4088511119629,131230.7728305687,1.2722487037068593,2176.0308323444765,-1.3137330503767992e-14,-1.0333814905158546e-14
jet_a_reference,0.014,0.003,1.03,1.0,True,17,185.070625875192,1472.2463615873114,0.0407843954298882,462.7248136492068,137548.39494764412,1.3334964307116852,2465.2691874008983,6.273776582037121e-16,-1.7384512874337808e-14
jet_a_reference,0.014,0.003,1.03,1.1,True,17,183.51656084493183,1475.35422951219,0.04497067019642162,416.12635886048685,137633.87985440635,1.3343251849700721,2451.15105577013,5.9647695629156656e-15,-4.233721990971031e-16
jet_a_reference,0.014,0.003,1.05,0.7,True,19,94.61603938222817,758.609513878092,0.02786524091374106,346.2432270529509,118951.33263474848,1.1532026786442142,1624.6591730199273,6.715841442086245e-15,8.518488199962069e-15
jet_a_reference,0.014,0.003,1.05,0.8,True,19,123.58157811125501,999.5908009022245,0.032310803053985246,390.01859104180267,125005.0475111908,1.2118918925994537,1895.4077645254872,-2.6149201887735527e-15,4.594878776448558e-14
jet_a_reference,0.014,0.003,1.05,0.9,True,17,152.44764850878508,1238.4340944769326,0.0366530962595046,424.12061920814574,131230.77283056985,1.2722487037068706,2176.0308323444765,-1.0873593029121356e-14,-1.0223991371042105e-14
jet_a_reference,0.014,0.003,1.05,1.0,True,17,185.06898564624646,1472.246361587399,0.04078479030838778,462.7162325854729,137548.3949476465,1.3334964307117083,2465.2691874008983,1.170611912947036e-15,-1.5680984147764403e-14
jet_a_reference,0.014,0.003,1.05,1.1,True,17,184.13879725581108,1475.3542295122606,0.044944367674893376,417.7816414244428,137633.8798544083,1.3343251849700912,2451.15105577013,6.05850406450742e-15,-6.9404257572130465e-15
jet_a_reference,0.014,0.003,1.08,0.7,True,19,94.61603938222817,758.609513878092,0.02786524091374106,346.2432270529509,118951.33263474848,1.1532026786442142,1624.6591730199273,6.715841442086245e-15,8.518488199962069e-15
jet_a_reference,0.014,0.003,1.08,0.8,True,19,123.58157811125501,999.5908009022245,0.032310803053985246,390.01859104180267,125005.0475111908,1.2118918925994537,1895.4077645254872,-2.6149201887735527e-15,4.594878776448558e-14
jet_a_reference,0.014,0.003,1.08,0.9,True,17,152.44764850878508,1238.4340944769326,0.0366530962595046,424.12061920814574,131230.77283056985,1.2722487037068706,2176.0308323444765,-1.0873593029121356e-14,-1.0223991371042105e-14
jet_a_reference,0.014,0.003,1.08,1.0,True,17,185.06898564624646,1472.246361587399,0.04078479030838778,462.7162325854729,137548.3949476465,1.3334964307117083,2465.2691874008983,1.170611912947036e-15,-1.5680984147764403e-14
jet_a_reference,0.014,0.003,1.08,1.1,True,17,184.31263867065368,1475.3542295122722,0.04493685443856027,418.24597706583455,137633.8798544086,1.334325184970094,2451.15105577013,6.224565224983811e-15,-3.860047191049096e-15
jet_a_reference,0.014,0.004,1.01,0.7,True,18,71.01850744093731,497.1187739708931,0.026386192798908425,274.45688739912987,112634.63211456175,1.0919638862849879,1695.6829239341134,1.820744214262973e-14,4.852338582877883e-14
jet_a_reference,0.014,0.004,1.01,0.8,True,17,96.59255485992128,663.77446943622,0.03064662483049424,321.3958952687491,116630.46372788704,1.1307024495093887,2009.2654699453772,-2.5140581295982217e-15,8.4572614140678e-14
jet_a_reference,0.014,0.004,1.01,0.9,True,16,110.87886854151694,830.9421246722368,0.03551561350705687,318.3528841645026,120744.7167125626,1.170589077573628,2345.312060863956,5.7837829352344965e-15,-4.475322465968457e-14
jet_a_reference,0.014,0.004,1.01,1.0,True,17,139.98504127214974,1002.1750842886104,0.03938870699382081,362.4008683046868,125071.19721675504,1.2125331970384923,2600.0000000000005,7.413666934744755e-15,-6.792901742541966e-14
jet_a_reference,0.014,0.004,1.01,1.1,True,16,138.68489360591565,1005.604985530747,0.04347176447184629,325.3128466792712,125159.03278084224,1.2133847403170919,2600.0,-7.48033866535855e-15,2.5972836245925465e-14
jet_a_reference,0.014,0.004,1.02,0.7,True,18,70.98532828204735,497.1187739708931,0.026386192798908456,274.3286637993442,112634.63211456175,1.0919638862849879,1695.6829239348103,1.4885188702073867e-14,4.82049590876242e-14
jet_a_reference,0.014,0.004,1.02,0.8,True,17,96.45725684175635,663.77446943622,0.030646624830494244,320.9457132879611,116630.46372788704,1.1307024495093887,2009.265469945429,-2.5732034894326065e-15,8.07037538481387e-14
jet_a_reference,0.014,0.004,1.02,0.9,True,16,110.88037858997724,830.9421246722903,0.035515283666941753,318.36017645151134,120744.71671256391,1.1705890775736407,2345.312060863956,5.3731723705965264e-15,-4.288617889223311e-14
jet_a_reference,0.014,0.004,1.02,1.0,True,17,140.3149481971597,1002.1750842886146,0.0393719131650031,363.4098932408092,125071.19721675511,1.212533197038493,2600.0,5.175940638390984e-15,-6.771273302615433e-14
jet_a_reference,0.014,0.004,1.02,1.1,True,16,138.68497994926733,1005.604985530747,0.043471741150799346,325.31322373358955,125159.03278084224,1.2133847403170919,2600.0,-7.327564344180965e-15,2.5336440567278977e-14
jet_a_reference,0.014,0.004,1.03,0.7,True,18,70.94552367138988,497.1187739708931,0.02638619279890834,274.1748355940108,112634.63211456175,1.0919638862849879,1695.6829239324402,1.5601846488002467e-14,5.826101548567453e-14
jet_a_reference,0.014,0.004,1.03,0.8,True,17,96.27890519144518,663.77446943634,0.030646992788091312,320.34843115057856,116630.46372788992,1.1307024495094167,2009.2654699453417,2.8065118298650395e-17,8.202604114048304e-14
jet_a_reference,0.014,0.004,1.03,0.9,True,16,110.88158286278116,830.9421246723238,0.03551502057066676,318.365992611083,120744.71671256477,1.170589077573649,2345.312060863956,6.927766427963564e-15,-4.5778457864826136e-14
jet_a_reference,0.014,0.004,1.03,1.0,True,17,140.58369946854594,1002.1750842886104,0.03935848053551037,364.23021335682245,125071.19721675504,1.2125331970384923,2600.0000000000005,7.655051493021823e-15,-6.493093198440162e-14
jet_a_reference,0.014,0.004,1.03,1.1,True,16,138.68503731345803,1005.604985530747,0.04347172565422944,325.3134742586948,125159.03278084224,1.2133847403170919,2600.0,-6.914915014100422e-15,3.0134666534450385e-14
jet_a_reference,0.014,0.004,1.05,0.7,True,18,70.94552367138988,497.1187739708931,0.02638619279890834,274.1748355940108,112634.63211456175,1.0919638862849879,1695.6829239324402,1.5601846488002467e-14,5.826101548567453e-14
jet_a_reference,0.014,0.004,1.05,0.8,True,17,96.19529508929965,663.7744694363236,0.030649996111782783,320.038872621734,116630.46372788952,1.130702449509413,2009.2654699453417,-4.2992807131310233e-16,7.290600586434584e-14
jet_a_reference,0.014,0.004,1.05,0.9,True,16,110.88338301914938,830.9421246723905,0.035514627214855835,318.37468750670405,120744.71671256646,1.1705890775736654,2345.312060863956,8.922655799779475e-15,-4.648674773396277e-14
jet_a_reference,0.014,0.004,1.05,1.0,True,16,141.13058748008993,1002.1750842886104,0.039331621742451146,365.8968072634039,125071.19721675504,1.2125331970384923,2600.0000000000005,8.40785685940595e-15,-6.58273903739779e-14
jet_a_reference,0.014,0.004,1.05,1.1,True,16,138.68513732141298,1005.604985530747,0.04347169863256862,325.31391105974626,125159.03278084224,1.2133847403170919,2600.0,-6.933103194387079e-15,2.4568981676563905e-14
jet_a_reference,0.014,0.004,1.08,0.7,True,18,70.94552367138988,497.1187739708931,0.02638619279890834,274.1748355940108,112634.63211456175,1.0919638862849879,1695.6829239324402,1.5601846488002467e-14,5.826101548567453e-14
jet_a_reference,0.014,0.004,1.08,0.8,True,17,96.19529508929965,663.7744694363236,0.030649996111782783,320.038872621734,116630.46372788952,1.130702449509413,2009.2654699453417,-4.2992807131310233e-16,7.290600586434584e-14
jet_a_reference,0.014,0.004,1.08,0.9,True,16,110.88338301914938,830.9421246723905,0.035514627214855835,318.37468750670405,120744.71671256646,1.1705890775736654,2345.312060863956,8.922655799779475e-15,-4.648674773396277e-14
jet_a_reference,0.014,0.004,1.08,1.0,True,16,141.13058748008993,1002.1750842886104,0.039331621742451146,365.8968072634039,125071.19721675504,1.2125331970384923,2600.0000000000005,8.40785685940595e-15,-6.58273903739779e-14
jet_a_reference,0.014,0.004,1.08,1.1,True,16,138.68518003474756,1005.604985530747,0.04347168708963857,325.31409763230045,125159.03278084224,1.2133847403170919,2600.0,-7.086450827770122e-15,2.2861772930642156e-14
jet_a_reference,0.014,0.005,1.01,0.7,True,17,50.59212863925849,349.00997553838016,0.025047485699145243,205.96723536317808,109170.67838866585,1.0583817428409232,1742.0231080088092,-6.2543162721016715e-15,5.3545146581165636e-14
jet_a_reference,0.014,0.005,1.01,0.8,True,16,66.59781022483756,472.0916704286558,0.0296084709922777,229.36296458133958,112043.57877187955,1.0862337756346458,2089.897684295275,2.6224189096125154e-15,3.638662640892222e-14
jet_a_reference,0.014,0.005,1.01,0.9,True,16,89.92452089817724,598.056782678006,0.03341641163731224,274.4085537950337,115042.26432818267,1.1153052634384764,2472.461956946865,-1.5547895983548444e-15,-3.470374908943533e-14
